loc_rowid,pl_name,sy_snum,sy_pnum,sy_mnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_eqt,st_teff,st_logg,sy_dist
24006,Kepler-428 b,1,1,0,2014,3.52563254,0.043300,12.110,403.63000,1.02000,1070,5150.00,4.57,686.2840000
24015,Kepler-43 b,1,1,0,2011,3.02409500,0.044900,13.450,1026.55000,2.33000,1637,6041.00,4.26,1005.8400000
24016,Kepler-43 b,1,1,0,2011,3.02409330,0.044000,12.498,982.09470,2.78000,1603,6041.00,4.28,1005.8400000
24024,Kepler-43 b,1,1,0,2011,3.02409309,0.044400,13.000,994.77000,2.49000,1628,6050.00,4.26,1005.8400000
24025,Kepler-43 b,1,1,0,2011,3.02409490,0.046000,13.664,1026.59090,5.00000,1620,6041.00,4.26,1005.8400000
24090,Kepler-433 b,1,1,0,2015,5.33408384,0.067900,16.250,896.24000,1.13000,1776,6360.00,3.89,1878.3100000
24102,Kepler-434 b,1,1,0,2015,12.87470990,0.114300,12.670,908.96000,2.40000,1000,5977.00,4.24,1222.5400000
24119,Kepler-435 b,1,1,0,2015,8.60015360,0.094800,22.310,266.97000,0.13100,1729,6161.00,3.61,1418.7700000
24171,Kepler-44 b,1,1,0,2011,3.24672200,0.045700,13.451,327.36490,0.73000,1568,5757.00,4.19,1188.0000000
24178,Kepler-44 b,1,1,0,2011,3.24674000,0.045500,13.900,324.17000,0.65000,1603,5757.00,4.15,1188.0000000
24179,Kepler-44 b,1,1,0,2011,3.24672930,0.044600,12.220,317.82000,0.93000,1544,5800.00,4.22,1188.0000000
24369,Kepler-45 b,1,1,0,2011,2.45523900,0.030000,10.760,160.49700,0.80000,1000,3820.00,4.70,381.9490000
24372,Kepler-45 b,1,1,0,2011,2.45524122,0.029540,11.198,158.91500,0.62400,787,3820.00,4.73,381.9490000
24454,Kepler-46 b,1,3,0,2012,33.60134000,0.196800,9.057,1907.00000,14.00000,543,5155.00,4.45,777.0600000
24980,Kepler-5 b,1,1,0,2009,3.54846000,0.050640,16.040,671.86400,0.89400,1868,6297.00,4.07,899.7770000
24981,Kepler-5 b,1,1,0,2009,3.54846570,0.053800,15.984,670.93913,0.40000,1750,6297.00,3.96,899.7770000
24982,Kepler-5 b,1,1,0,2009,3.54846900,0.049670,13.563,648.37320,1.43100,1692,6297.00,4.17,899.7770000
